scenario,num_nodes,elevated_count,elevated_rate,coordinated_count,time_to_first_elevated,time_to_majority_elevated,time_to_first_coordinated,total_bytes,bytes_per_node,total_merges,merges_per_node,mean_final_sat,max_final_sat,approach,topology,seed,seed_idx
overlap_identical_event,32,0,0.0,0,,,,22798880,712465.0,21922,685.0625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72466,18
overlap_identical_event,32,0,0.0,0,,,,22737520,710547.5,21863,683.21875,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72603,19
overlap_identical_event,32,0,0.0,0,,,,10818080,338065.0,10402,325.0625,0.048828125,0.048828125,gm_cap_aware,campus_building,70000,0
overlap_identical_event,32,0,0.0,0,,,,10807680,337740.0,10392,324.75,0.048828125,0.048828125,gm_cap_aware,campus_building,70137,1
overlap_identical_event,32,0,0.0,0,,,,10781680,336927.5,10367,323.96875,0.048828125,0.048828125,gm_cap_aware,campus_building,70274,2
overlap_identical_event,32,0,0.0,0,,,,10988640,343395.0,10566,330.1875,0.048828125,0.048828125,gm_cap_aware,campus_building,70411,3
overlap_identical_event,32,0,0.0,0,,,,10872160,339755.0,10454,326.6875,0.048828125,0.048828125,gm_cap_aware,campus_building,70548,4
overlap_identical_event,32,0,0.0,0,,,,10808720,337772.5,10393,324.78125,0.048828125,0.048828125,gm_cap_aware,campus_building,70685,5
overlap_identical_event,32,0,0.0,0,,,,10809760,337805.0,10394,324.8125,0.048828125,0.048828125,gm_cap_aware,campus_building,70822,6
overlap_identical_event,32,0,0.0,0,,,,10918960,341217.5,10499,328.09375,0.048828125,0.048828125,gm_cap_aware,campus_building,70959,7
overlap_identical_event,32,0,0.0,0,,,,10808720,337772.5,10393,324.78125,0.048828125,0.048828125,gm_cap_aware,campus_building,71096,8
overlap_identical_event,32,0,0.0,0,,,,10920000,341250.0,10500,328.125,0.048828125,0.048828125,gm_cap_aware,campus_building,71233,9
overlap_identical_event,32,0,0.0,0,,,,11028160,344630.0,10604,331.375,0.048828125,0.048828125,gm_cap_aware,campus_building,71370,10
overlap_identical_event,32,0,0.0,0,,,,10954320,342322.5,10533,329.15625,0.048828125,0.048828125,gm_cap_aware,campus_building,71507,11
overlap_identical_event,32,0,0.0,0,,,,10856560,339267.5,10439,326.21875,0.048828125,0.048828125,gm_cap_aware,campus_building,71644,12
overlap_identical_event,32,0,0.0,0,,,,10759840,336245.0,10346,323.3125,0.048828125,0.048828125,gm_cap_aware,campus_building,71781,13
overlap_identical_event,32,0,0.0,0,,,,10785840,337057.5,10371,324.09375,0.048828125,0.048828125,gm_cap_aware,campus_building,71918,14
overlap_identical_event,32,0,0.0,0,,,,10735920,335497.5,10323,322.59375,0.048828125,0.048828125,gm_cap_aware,campus_building,72055,15
overlap_identical_event,32,0,0.0,0,,,,10855520,339235.0,10438,326.1875,0.048828125,0.048828125,gm_cap_aware,campus_building,72192,16
overlap_identical_event,32,0,0.0,0,,,,10909600,340925.0,10490,327.8125,0.048828125,0.048828125,gm_cap_aware,campus_building,72329,17
overlap_identical_event,32,0,0.0,0,,,,10924160,341380.0,10504,328.25,0.048828125,0.048828125,gm_cap_aware,campus_building,72466,18
overlap_identical_event,32,0,0.0,0,,,,10825360,338292.5,10409,325.28125,0.048828125,0.048828125,gm_cap_aware,campus_building,72603,19
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.915234044479024,7.7418160146562265,ewma_local,corridor,70000,0
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.762793039967647,7.659913557611972,ewma_local,corridor,70137,1
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.87275014636092,6.92032425440096,ewma_local,corridor,70274,2
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.212604263124472,7.890725042677719,ewma_local,corridor,70411,3
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.9749815365864425,7.2987910160120055,ewma_local,corridor,70548,4
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.120058882793114,7.189284239928448,ewma_local,corridor,70685,5
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.953498742508212,8.016625494275385,ewma_local,corridor,70822,6
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.1379955386307685,7.890075397377535,ewma_local,corridor,70959,7
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.988312190193848,8.322571860549322,ewma_local,corridor,71096,8
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.768467937011467,6.958734338431488,ewma_local,corridor,71233,9
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.089326684422889,8.35130177223527,ewma_local,corridor,71370,10
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.241273275625891,7.289287156305648,ewma_local,corridor,71507,11
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.8451625130560725,6.674177922562556,ewma_local,corridor,71644,12
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.972148151602244,7.265422871697643,ewma_local,corridor,71781,13
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.01268366928404,7.202011637937195,ewma_local,corridor,71918,14
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.79777648845966,6.8018125015377375,ewma_local,corridor,72055,15
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.021794453276157,7.646049286848184,ewma_local,corridor,72192,16
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.844632554251094,7.22103886660255,ewma_local,corridor,72329,17
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.121336040223858,7.4035097927551154,ewma_local,corridor,72466,18
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.933029478130378,7.818992143140457,ewma_local,corridor,72603,19
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.796688848081743,8.0493409172152,ewma_local,wing_gateway,70000,0
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.81095088368002,7.926270832416893,ewma_local,wing_gateway,70137,1
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.8429853148236885,7.02775312844587,ewma_local,wing_gateway,70274,2
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.919171633707114,6.7195765292189495,ewma_local,wing_gateway,70411,3
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.847207040008321,7.159314631016548,ewma_local,wing_gateway,70548,4
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.993889529703644,8.001950884537559,ewma_local,wing_gateway,70685,5
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.921459826025342,7.168597843885815,ewma_local,wing_gateway,70822,6
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.227513563066659,7.245366016962177,ewma_local,wing_gateway,70959,7
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.159718422428781,7.5507876900164925,ewma_local,wing_gateway,71096,8
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.980060178514202,7.1044748563470295,ewma_local,wing_gateway,71233,9
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.839374820429625,7.36216824593244,ewma_local,wing_gateway,71370,10
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.88740175468242,7.078173457711583,ewma_local,wing_gateway,71507,11
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.991464934941675,6.916080531770587,ewma_local,wing_gateway,71644,12
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.083058904118462,7.4591408147688245,ewma_local,wing_gateway,71781,13
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.063520144859117,7.1538621471378665,ewma_local,wing_gateway,71918,14
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.804356996127788,8.000069971356535,ewma_local,wing_gateway,72055,15
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.062425137680107,6.779840380689805,ewma_local,wing_gateway,72192,16
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.90903268003846,7.4828128429409455,ewma_local,wing_gateway,72329,17
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.067095038835973,7.683140388236918,ewma_local,wing_gateway,72466,18
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.804671477945987,6.6375766718735605,ewma_local,wing_gateway,72603,19
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.898307078588415,8.251555616437003,ewma_local,campus_building,70000,0
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.932278486824727,7.922173293077959,ewma_local,campus_building,70137,1
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.606374747205891,6.897244384695588,ewma_local,campus_building,70274,2
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.75991495008339,6.668304155071278,ewma_local,campus_building,70411,3
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.110831904032079,7.155770481909296,ewma_local,campus_building,70548,4
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.02471714991713,8.118296517362339,ewma_local,campus_building,70685,5
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.884084453264685,6.926113166131089,ewma_local,campus_building,70822,6
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.257653319262351,7.692678698115517,ewma_local,campus_building,70959,7
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.102597575250263,7.288462139699192,ewma_local,campus_building,71096,8
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.971083306669391,6.573432306557323,ewma_local,campus_building,71233,9
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.680463280914012,6.718518224484892,ewma_local,campus_building,71370,10
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.869681248201449,6.667200013801819,ewma_local,campus_building,71507,11
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.3062283505118515,8.429694459855966,ewma_local,campus_building,71644,12
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.756252953437839,8.007000682421078,ewma_local,campus_building,71781,13
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.088470315063289,7.221293797999914,ewma_local,campus_building,71918,14
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.268597840786748,7.916548493583525,ewma_local,campus_building,72055,15
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.214389111986802,7.518214174314981,ewma_local,campus_building,72192,16
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,5.063743264999061,8.382437466442127,ewma_local,campus_building,72329,17
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.974593260152141,7.129105523151215,ewma_local,campus_building,72466,18
overlap_identical_event,32,0,0.0,0,,,,0,0.0,0,0.0,4.943145279632091,7.535004277888472,ewma_local,campus_building,72603,19
overlap_identical_event,32,0,0.0,0,,,,28576,893.0,3572,111.625,10.0,10.0,scalar_max,corridor,70000,0
overlap_identical_event,32,0,0.0,0,,,,27704,865.75,3463,108.21875,10.0,10.0,scalar_max,corridor,70137,1
overlap_identical_event,32,0,0.0,0,,,,28016,875.5,3502,109.4375,10.0,10.0,scalar_max,corridor,70274,2
overlap_identical_event,32,0,0.0,0,,,,28464,889.5,3558,111.1875,10.0,10.0,scalar_max,corridor,70411,3
overlap_identical_event,32,0,0.0,0,,,,27816,869.25,3477,108.65625,10.0,10.0,scalar_max,corridor,70548,4
overlap_identical_event,32,0,0.0,0,,,,27968,874.0,3496,109.25,10.0,10.0,scalar_max,corridor,70685,5
overlap_identical_event,32,0,0.0,0,,,,28176,880.5,3522,110.0625,10.0,10.0,scalar_max,corridor,70822,6
overlap_identical_event,32,0,0.0,0,,,,28144,879.5,3518,109.9375,10.0,10.0,scalar_max,corridor,70959,7
overlap_identical_event,32,0,0.0,0,,,,28168,880.25,3521,110.03125,10.0,10.0,scalar_max,corridor,71096,8
overlap_identical_event,32,0,0.0,0,,,,27888,871.5,3486,108.9375,10.0,10.0,scalar_max,corridor,71233,9
overlap_identical_event,32,0,0.0,0,,,,28768,899.0,3596,112.375,10.0,10.0,scalar_max,corridor,71370,10
overlap_identical_event,32,0,0.0,0,,,,28392,887.25,3549,110.90625,10.0,10.0,scalar_max,corridor,71507,11
overlap_identical_event,32,0,0.0,0,,,,27608,862.75,3451,107.84375,10.0,10.0,scalar_max,corridor,71644,12
overlap_identical_event,32,0,0.0,0,,,,27448,857.75,3431,107.21875,10.0,10.0,scalar_max,corridor,71781,13
overlap_identical_event,32,0,0.0,0,,,,27888,871.5,3486,108.9375,10.0,10.0,scalar_max,corridor,71918,14
overlap_identical_event,32,0,0.0,0,,,,27912,872.25,3489,109.03125,10.0,10.0,scalar_max,corridor,72055,15
overlap_identical_event,32,0,0.0,0,,,,27848,870.25,3481,108.78125,10.0,10.0,scalar_max,corridor,72192,16
overlap_identical_event,32,0,0.0,0,,,,28368,886.5,3546,110.8125,10.0,10.0,scalar_max,corridor,72329,17
overlap_identical_event,32,0,0.0,0,,,,28232,882.25,3529,110.28125,10.0,10.0,scalar_max,corridor,72466,18
overlap_identical_event,32,0,0.0,0,,,,29000,906.25,3625,113.28125,10.0,10.0,scalar_max,corridor,72603,19
overlap_identical_event,32,0,0.0,0,,,,174176,5443.0,21772,680.375,10.0,10.0,scalar_max,wing_gateway,70000,0
overlap_identical_event,32,0,0.0,0,,,,174248,5445.25,21781,680.65625,10.0,10.0,scalar_max,wing_gateway,70137,1
overlap_identical_event,32,0,0.0,0,,,,174216,5444.25,21777,680.53125,10.0,10.0,scalar_max,wing_gateway,70274,2
overlap_identical_event,32,0,0.0,0,,,,175776,5493.0,21972,686.625,10.0,10.0,scalar_max,wing_gateway,70411,3
overlap_identical_event,32,0,0.0,0,,,,173352,5417.25,21669,677.15625,10.0,10.0,scalar_max,wing_gateway,70548,4
overlap_identical_event,32,0,0.0,0,,,,172840,5401.25,21605,675.15625,10.0,10.0,scalar_max,wing_gateway,70685,5
overlap_identical_event,32,0,0.0,0,,,,173208,5412.75,21651,676.59375,10.0,10.0,scalar_max,wing_gateway,70822,6
overlap_identical_event,32,0,0.0,0,,,,175656,5489.25,21957,686.15625,10.0,10.0,scalar_max,wing_gateway,70959,7
overlap_identical_event,32,0,0.0,0,,,,173024,5407.0,21628,675.875,10.0,10.0,scalar_max,wing_gateway,71096,8
overlap_identical_event,32,0,0.0,0,,,,174320,5447.5,21790,680.9375,10.0,10.0,scalar_max,wing_gateway,71233,9
overlap_identical_event,32,0,0.0,0,,,,175880,5496.25,21985,687.03125,10.0,10.0,scalar_max,wing_gateway,71370,10
overlap_identical_event,32,0,0.0,0,,,,175096,5471.75,21887,683.96875,10.0,10.0,scalar_max,wing_gateway,71507,11
overlap_identical_event,32,0,0.0,0,,,,173800,5431.25,21725,678.90625,10.0,10.0,scalar_max,wing_gateway,71644,12
overlap_identical_event,32,0,0.0,0,,,,173328,5416.5,21666,677.0625,10.0,10.0,scalar_max,wing_gateway,71781,13
overlap_identical_event,32,0,0.0,0,,,,173976,5436.75,21747,679.59375,10.0,10.0,scalar_max,wing_gateway,71918,14
overlap_identical_event,32,0,0.0,0,,,,173752,5429.75,21719,678.71875,10.0,10.0,scalar_max,wing_gateway,72055,15
overlap_identical_event,32,0,0.0,0,,,,175168,5474.0,21896,684.25,10.0,10.0,scalar_max,wing_gateway,72192,16
overlap_identical_event,32,0,0.0,0,,,,175240,5476.25,21905,684.53125,10.0,10.0,scalar_max,wing_gateway,72329,17
overlap_identical_event,32,0,0.0,0,,,,175376,5480.5,21922,685.0625,10.0,10.0,scalar_max,wing_gateway,72466,18
overlap_identical_event,32,0,0.0,0,,,,174904,5465.75,21863,683.21875,10.0,10.0,scalar_max,wing_gateway,72603,19
overlap_identical_event,32,0,0.0,0,,,,83216,2600.5,10402,325.0625,10.0,10.0,scalar_max,campus_building,70000,0
overlap_identical_event,32,0,0.0,0,,,,83136,2598.0,10392,324.75,10.0,10.0,scalar_max,campus_building,70137,1
overlap_identical_event,32,0,0.0,0,,,,82936,2591.75,10367,323.96875,10.0,10.0,scalar_max,campus_building,70274,2
overlap_identical_event,32,0,0.0,0,,,,84528,2641.5,10566,330.1875,10.0,10.0,scalar_max,campus_building,70411,3
overlap_identical_event,32,0,0.0,0,,,,83632,2613.5,10454,326.6875,10.0,10.0,scalar_max,campus_building,70548,4
overlap_identical_event,32,0,0.0,0,,,,83144,2598.25,10393,324.78125,10.0,10.0,scalar_max,campus_building,70685,5
overlap_identical_event,32,0,0.0,0,,,,83152,2598.5,10394,324.8125,10.0,10.0,scalar_max,campus_building,70822,6
overlap_identical_event,32,0,0.0,0,,,,83992,2624.75,10499,328.09375,10.0,10.0,scalar_max,campus_building,70959,7
overlap_identical_event,32,0,0.0,0,,,,83144,2598.25,10393,324.78125,10.0,10.0,scalar_max,campus_building,71096,8
overlap_identical_event,32,0,0.0,0,,,,84000,2625.0,10500,328.125,10.0,10.0,scalar_max,campus_building,71233,9
overlap_identical_event,32,0,0.0,0,,,,84832,2651.0,10604,331.375,10.0,10.0,scalar_max,campus_building,71370,10
overlap_identical_event,32,0,0.0,0,,,,84264,2633.25,10533,329.15625,10.0,10.0,scalar_max,campus_building,71507,11
overlap_identical_event,32,0,0.0,0,,,,83512,2609.75,10439,326.21875,10.0,10.0,scalar_max,campus_building,71644,12
overlap_identical_event,32,0,0.0,0,,,,82768,2586.5,10346,323.3125,10.0,10.0,scalar_max,campus_building,71781,13
overlap_identical_event,32,0,0.0,0,,,,82968,2592.75,10371,324.09375,10.0,10.0,scalar_max,campus_building,71918,14
overlap_identical_event,32,0,0.0,0,,,,82584,2580.75,10323,322.59375,10.0,10.0,scalar_max,campus_building,72055,15
overlap_identical_event,32,0,0.0,0,,,,83504,2609.5,10438,326.1875,10.0,10.0,scalar_max,campus_building,72192,16
overlap_identical_event,32,0,0.0,0,,,,83920,2622.5,10490,327.8125,10.0,10.0,scalar_max,campus_building,72329,17
overlap_identical_event,32,0,0.0,0,,,,84032,2626.0,10504,328.25,10.0,10.0,scalar_max,campus_building,72466,18
overlap_identical_event,32,0,0.0,0,,,,83272,2602.25,10409,325.28125,10.0,10.0,scalar_max,campus_building,72603,19
overlap_identical_event,32,32,1.0,32,1,2,2,57152,1786.0,3572,111.625,100.0,100.0,scalar_mean,corridor,70000,0
overlap_identical_event,32,32,1.0,32,1,2,2,55408,1731.5,3463,108.21875,100.0,100.0,scalar_mean,corridor,70137,1
overlap_identical_event,32,32,1.0,32,1,2,2,56032,1751.0,3502,109.4375,100.0,100.0,scalar_mean,corridor,70274,2
overlap_identical_event,32,32,1.0,32,1,2,2,56928,1779.0,3558,111.1875,100.0,100.0,scalar_mean,corridor,70411,3
overlap_identical_event,32,32,1.0,32,1,2,2,55632,1738.5,3477,108.65625,100.0,100.0,scalar_mean,corridor,70548,4
overlap_identical_event,32,32,1.0,32,1,3,3,55936,1748.0,3496,109.25,100.0,100.0,scalar_mean,corridor,70685,5
overlap_identical_event,32,32,1.0,32,1,2,1,56352,1761.0,3522,110.0625,100.0,100.0,scalar_mean,corridor,70822,6
overlap_identical_event,32,32,1.0,32,1,3,3,56288,1759.0,3518,109.9375,100.0,100.0,scalar_mean,corridor,70959,7
overlap_identical_event,32,32,1.0,32,1,2,2,56336,1760.5,3521,110.03125,100.0,100.0,scalar_mean,corridor,71096,8
overlap_identical_event,32,32,1.0,32,1,3,2,55776,1743.0,3486,108.9375,100.0,100.0,scalar_mean,corridor,71233,9
overlap_identical_event,32,32,1.0,32,1,3,2,57536,1798.0,3596,112.375,100.0,100.0,scalar_mean,corridor,71370,10
overlap_identical_event,32,32,1.0,32,1,3,3,56784,1774.5,3549,110.90625,100.0,100.0,scalar_mean,corridor,71507,11
overlap_identical_event,32,32,1.0,32,1,2,2,55216,1725.5,3451,107.84375,100.0,100.0,scalar_mean,corridor,71644,12
overlap_identical_event,32,32,1.0,32,1,2,2,54896,1715.5,3431,107.21875,100.0,100.0,scalar_mean,corridor,71781,13
overlap_identical_event,32,32,1.0,32,1,2,2,55776,1743.0,3486,108.9375,100.0,100.0,scalar_mean,corridor,71918,14
overlap_identical_event,32,32,1.0,32,1,2,2,55824,1744.5,3489,109.03125,100.0,100.0,scalar_mean,corridor,72055,15
overlap_identical_event,32,32,1.0,32,1,2,2,55696,1740.5,3481,108.78125,100.0,100.0,scalar_mean,corridor,72192,16
overlap_identical_event,32,32,1.0,32,1,2,2,56736,1773.0,3546,110.8125,100.0,100.0,scalar_mean,corridor,72329,17
overlap_identical_event,32,32,1.0,32,1,3,2,56464,1764.5,3529,110.28125,100.0,100.0,scalar_mean,corridor,72466,18
overlap_identical_event,32,32,1.0,32,1,3,3,58000,1812.5,3625,113.28125,100.0,100.0,scalar_mean,corridor,72603,19
overlap_identical_event,32,32,1.0,32,1,1,1,348352,10886.0,21772,680.375,100.0,100.0,scalar_mean,wing_gateway,70000,0
overlap_identical_event,32,32,1.0,32,1,1,1,348496,10890.5,21781,680.65625,100.0,100.0,scalar_mean,wing_gateway,70137,1
overlap_identical_event,32,32,1.0,32,1,1,1,348432,10888.5,21777,680.53125,100.0,100.0,scalar_mean,wing_gateway,70274,2
overlap_identical_event,32,32,1.0,32,1,1,1,351552,10986.0,21972,686.625,100.0,100.0,scalar_mean,wing_gateway,70411,3
overlap_identical_event,32,32,1.0,32,1,1,1,346704,10834.5,21669,677.15625,100.0,100.0,scalar_mean,wing_gateway,70548,4
overlap_identical_event,32,32,1.0,32,1,1,1,345680,10802.5,21605,675.15625,100.0,100.0,scalar_mean,wing_gateway,70685,5
overlap_identical_event,32,32,1.0,32,1,1,1,346416,10825.5,21651,676.59375,100.0,100.0,scalar_mean,wing_gateway,70822,6
overlap_identical_event,32,32,1.0,32,1,1,1,351312,10978.5,21957,686.15625,100.0,100.0,scalar_mean,wing_gateway,70959,7
