scenario,approach,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,m,k
C_single_poison,ghost_meadow,12,75,76,,,76,0,0,0,197,60981336,7436,5081778.0,8200.825174825175,43.939208984375,0,0.004523610773165363,0.0,32768,7
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,32768,7
A_benign,ghost_meadow,12,135,136,,,136,0,0,0,11,137563200,8388,11463600.0,16400.0,30.675633748372395,0,0.022442335547465418,0.0,65536,9
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,65536,9
B_coordinated,ghost_meadow,12,137,138,,,138,0,0,12,34,136792400,8341,11399366.666666666,16400.0,31.795374552408855,0,0.002353853132161829,0.0,65536,9
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,65536,9
C_single_poison,ghost_meadow,12,137,138,,,138,0,0,0,26,121843800,7436,10153650.0,16385.664335664336,31.12210360440341,0,0.0031920119134847785,0.0,65536,9
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,65536,9
A_benign,ghost_meadow,12,,,,,,0,0,0,0,402758208,8388,33563184.0,48016.0,16.510156249999998,0,0.005606079101562549,0.0,192000,13
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,192000,13
B_coordinated,ghost_meadow,12,,,,,,0,0,12,0,400501456,8341,33375121.333333332,48016.0,17.24631076388889,0,0.0008414920759789595,0.0,192000,13
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,192000,13
C_single_poison,ghost_meadow,12,,,,,,0,0,0,0,356734872,7436,29727906.0,47974.02797202797,16.882386363636368,0,0.001116944480314505,0.0,192000,13
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,192000,13
