condition_id,seed,profile,m,k,topology,contact_prob,epoch_length,traffic_regime,attack_type,has_real_attack,approach,scenario,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,layer_a_fp_rate,layer_a_campaign_recall,layer_a_sat_pct
42,50274,negative_control_4096,4096,2,full_mesh,0.15,300,benign_heavy,none,False,local_only,benign_heavy_negative_control_4096,12,40,42,102,112,42,12,0,0,162,0,0,0.0,0.0,95.0,224,0.0,0.0,,,
42,50274,negative_control_4096,4096,2,full_mesh,0.15,300,benign_heavy,none,False,exact_gossip,benign_heavy_negative_control_4096,12,5,5,10,10,5,12,0,0,462,38006744,9816,3167228.6666666665,3871.917685411573,95.0,476,0.0,0.0,,,
43,50274,negative_control_4096,4096,2,ring,0.4,100,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_negative_control_4096,12,29,31,,,31,0,0,12,25,4922320,4733,410193.3333333333,1040.0,56.89697265625,0,0.46218021048439867,0.0,0.025,1.0,13.623046875
43,50274,negative_control_4096,4096,2,ring,0.4,100,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_negative_control_4096,12,59,72,,,72,0,0,12,0,0,0,0.0,0.0,38.06666666666667,0,5.489722222222226,0.0,,,
43,50274,negative_control_4096,4096,2,ring,0.4,100,coordinated_bursty,distributed_campaign,True,exact_gossip,coordinated_bursty_negative_control_4096,12,9,11,17,19,11,0,12,0,337,16058996,4733,1338249.6666666667,3392.9845763786184,95.0,386,0.0,0.0,,,
44,50274,negative_control_4096,4096,2,star_sparse,0.7,200,low_and_slow,distributed_campaign,True,ghost_meadow,low_and_slow_negative_control_4096,12,27,28,,,28,0,0,12,181,7986160,7679,665513.3333333334,1040.0,73.89729817708333,0,0.01751714282565647,0.0,0.025,1.0,13.623046875
44,50274,negative_control_4096,4096,2,star_sparse,0.7,200,low_and_slow,distributed_campaign,True,local_only,low_and_slow_negative_control_4096,12,58,71,164,181,71,0,12,0,0,0,0,0.0,0.0,72.30000000000001,0,5.156388888888892,0.0,,,
44,50274,negative_control_4096,4096,2,star_sparse,0.7,200,low_and_slow,distributed_campaign,True,exact_gossip,low_and_slow_negative_control_4096,12,7,7,16,19,7,0,12,0,414,28460948,7679,2371745.6666666665,3706.3351998958196,95.0,443,0.0,0.0,,,
45,50274,negative_control_4096,4096,2,regional_mesh,0.15,300,poison_heavy,poison_flood,True,ghost_meadow,poison_heavy_negative_control_4096,12,32,35,141,151,35,11,0,0,263,2775240,2679,231270.0,1035.9238521836505,81.14568536931819,20,0.22329574774119482,0.0,0.025,1.0,13.623046875
45,50274,negative_control_4096,4096,2,regional_mesh,0.15,300,poison_heavy,poison_flood,True,local_only,poison_heavy_negative_control_4096,12,63,68,174,181,68,11,0,0,32,0,0,0.0,0.0,95.0,73,3.535206611570251,0.0,,,
45,50274,negative_control_4096,4096,2,regional_mesh,0.15,300,poison_heavy,poison_flood,True,exact_gossip,poison_heavy_negative_control_4096,12,12,16,25,28,16,11,0,0,364,8427622,2657,702301.8333333334,3171.856228829507,95.0,424,0.0,0.0,,,
46,50274,negative_control_4096,4096,2,partitioned_clusters,0.4,100,collusion_3,coordinated_poison,True,ghost_meadow,collusion_3_negative_control_4096,12,31,32,,,32,0,0,0,14,9696440,9318,808036.6666666666,1040.6138656364026,55.710177951388886,0,0.07020102606879342,0.0,0.025,1.0,13.623046875
46,50274,negative_control_4096,4096,2,partitioned_clusters,0.4,100,collusion_3,coordinated_poison,True,local_only,collusion_3_negative_control_4096,12,63,68,,,68,0,0,0,0,0,0,0.0,0.0,36.64444444444444,0,1.4232098765432122,0.0,,,
46,50274,negative_control_4096,4096,2,partitioned_clusters,0.4,100,collusion_3,coordinated_poison,True,exact_gossip,collusion_3_negative_control_4096,12,7,7,18,18,7,9,0,0,342,26235234,9326,2186269.5,2813.128243619987,95.0,390,0.0,0.0,,,
47,50274,negative_control_4096,4096,2,full_mesh,0.7,200,namespace_flood,namespace_flood,True,ghost_meadow,namespace_flood_negative_control_4096,12,2,2,9,11,2,11,0,0,391,43794400,42107,3649533.3333333335,1040.074096943501,100.0,458,0.0,0.0,0.025,1.0,13.623046875
47,50274,negative_control_4096,4096,2,full_mesh,0.7,200,namespace_flood,namespace_flood,True,local_only,namespace_flood_negative_control_4096,12,63,68,174,181,68,11,0,0,0,0,0,0.0,0.0,70.89090909090909,0,1.4214876033057864,0.0,,,
47,50274,negative_control_4096,4096,2,full_mesh,0.7,200,namespace_flood,namespace_flood,True,exact_gossip,namespace_flood_negative_control_4096,12,1,1,2,2,1,11,0,0,482,159690470,42091,13307539.166666666,3793.93385759426,95.0,495,0.0,0.0,,,
48,50274,negative_control_4096,4096,2,ring,0.15,300,stale_replay,replay_stale,True,ghost_meadow,stale_replay_negative_control_4096,12,39,44,144,152,44,0,11,0,246,1631240,1566,135936.66666666666,1041.6602809706258,80.73508522727273,11,0.264142170425289,0.0,0.025,1.0,13.623046875
48,50274,negative_control_4096,4096,2,ring,0.15,300,stale_replay,replay_stale,True,local_only,stale_replay_negative_control_4096,12,63,68,174,181,68,0,11,0,32,0,0,0.0,0.0,95.0,73,3.535206611570251,0.0,,,
48,50274,negative_control_4096,4096,2,ring,0.15,300,stale_replay,replay_stale,True,exact_gossip,stale_replay_negative_control_4096,12,15,19,29,37,19,0,11,0,391,5116964,1569,426413.6666666667,3261.2899936265135,95.0,422,0.0,0.0,,,
49,50274,good_regime_32768,32768,7,star_sparse,0.4,100,benign_heavy,none,False,ghost_meadow,benign_heavy_good_regime_32768,12,44,47,,,47,0,0,0,84,35532432,4329,2961036.0,8208.0,39.507548014322914,0,0.11868535592738126,0.0,0.0,1.0,6.201171875
49,50274,good_regime_32768,32768,7,star_sparse,0.4,100,benign_heavy,none,False,local_only,benign_heavy_good_regime_32768,12,40,42,,,42,0,0,0,0,0,0,0.0,0.0,59.133333333333326,0,4.293333333333331,0.0,,,
49,50274,good_regime_32768,32768,7,star_sparse,0.4,100,benign_heavy,none,False,exact_gossip,benign_heavy_good_regime_32768,12,5,6,11,14,6,12,0,0,390,15731060,4329,1310921.6666666667,3633.878493878494,95.0,434,0.0,0.0,,,
50,50274,good_regime_32768,32768,7,regional_mesh,0.7,200,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_good_regime_32768,12,74,78,,,78,0,0,12,217,120493440,14680,10041120.0,8208.0,45.171356201171875,0,0.0041185153855217834,0.0,0.0,1.0,6.201171875
50,50274,good_regime_32768,32768,7,regional_mesh,0.7,200,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_good_regime_32768,12,59,72,166,178,72,0,12,0,0,0,0,0.0,0.0,73.63333333333334,0,5.489722222222226,0.0,,,
50,50274,good_regime_32768,32768,7,regional_mesh,0.7,200,coordinated_bursty,distributed_campaign,True,exact_gossip,coordinated_bursty_good_regime_32768,12,6,7,15,16,7,0,12,0,422,54473264,14680,4539438.666666667,3710.7128065395095,95.0,444,0.0,0.0,,,
51,50274,good_regime_32768,32768,7,partitioned_clusters,0.15,300,low_and_slow,distributed_campaign,True,ghost_meadow,low_and_slow_good_regime_32768,12,73,74,,,74,0,0,12,281,37042704,4513,3086892.0,8208.0,50.973002115885414,0,0.007667048420343134,0.0,0.0,1.0,6.201171875
51,50274,good_regime_32768,32768,7,partitioned_clusters,0.15,300,low_and_slow,distributed_campaign,True,local_only,low_and_slow_good_regime_32768,12,58,71,164,181,71,0,12,0,40,0,0,0.0,0.0,95.0,78,10.91555555555555,0.0,,,
51,50274,good_regime_32768,32768,7,partitioned_clusters,0.15,300,low_and_slow,distributed_campaign,True,exact_gossip,low_and_slow_good_regime_32768,12,9,10,17,20,10,0,12,0,429,16829692,4513,1402474.3333333333,3729.158431198759,95.0,452,0.0,0.0,,,
52,50274,good_regime_32768,32768,7,full_mesh,0.4,100,poison_heavy,poison_flood,True,ghost_meadow,poison_heavy_good_regime_32768,12,76,83,,,83,0,0,0,7,196721136,23923,16393428.0,8223.09643439368,30.820534446022727,0,0.002313528425437359,0.0,0.0,1.0,6.201171875
52,50274,good_regime_32768,32768,7,full_mesh,0.4,100,poison_heavy,poison_flood,True,local_only,poison_heavy_good_regime_32768,12,63,68,,,68,0,0,0,0,0,0,0.0,0.0,36.54545454545455,0,1.4214876033057864,0.0,,,
52,50274,good_regime_32768,32768,7,full_mesh,0.4,100,poison_heavy,poison_flood,True,exact_gossip,poison_heavy_good_regime_32768,12,6,7,16,16,7,11,0,0,365,77035992,23973,6419666.0,3213.4481291452885,95.0,403,0.0,0.0,,,
